sigma,label
36.734,0
31.087,0
25.184,0
31.625,0
24.165,0
23.613,0
31.673,0
33.956,0
36.903,0
35.089,0
36.28,0
27.227,0
35.295,0
32.429,0
29.989,0
36.02,0
34.457,0
19.615,0
32.663,0
29.099,0
26.992,0
33.484,0
35.358,0
35.221,0
21.82,0
31.024,0
31.828,0
30.793,0
34.438,0
35.085,0
33.382,0
34.893,0
33.714,0
32.592,0
31.736,0
33.38,0
34.211,0
35.221,0
36.102,0
31.705,0
30.067,0
28.421,0
35.913,0
35.983,0
34.201,0
26.716,0
31.172,0
36.329,0
36.265,0
32.079,0
36.824,0
22.63,0
36.66,0
30.039,0
32.68,0
17.281,0
36.86,0
31.826,0
36.324,0
32.799,0
32.48,0
34.751,0
33.323,0
35.232,0
29.968,0
33.053,0
36.337,0
34.786,0
36.049,0
35.995,0
31.015,0
29.18,0
36.176,0
30.141,0
28.298,0
35.959,0
30.341,0
34.775,0
36.909,0
25.764,0
34.769,0
34.443,0
29.756,0
33.502,0
19.514,0
27.555,0
34.507,0
31.554,0
29.111,0
25.426,0
34.505,0
26.947,0
32.143,0
32.396,0
32.245,0
34.113,0
28.534,0
30.009,0
33.588,0
29.125,0
33.84,0
33.485,0
36.384,0
36.364,0
33.822,0
33.599,0
32.118,0
28.054,0
30.86,0
35.023,0
28.663,0
34.325,0
35.486,0
29.507,0
20.572,0
29.645,0
31.742,0
34.688,0
35.979,0
36.527,0
36.673,0
33.828,0
36.318,0
25.053,0
32.085,0
26.891,0
34.656,0
34.808,0
34.058,0
28.908,0
30.351,0
25.603,0
33.67,0
30.074,0
36.375,0
33.785,0
36.535,0
36.033,0
33.597,0
27.996,0
30.504,0
34.396,0
29.725,0
36.448,0
31.574,0
35.59,0
28.319,0
31.083,0
35.011,0
36.374,0
34.533,0
34.269,0
32.906,0
35.11,0
35.899,0
34.383,0
23.526,0
31.033,0
31.548,0
32.355,0
29.562,0
34.819,0
36.157,0
32.856,0
25.732,0
20.151,0
28.343,0
33.34,0
34.123,0
24.939,0
30.426,0
36.693,0
26.202,0
25.247,0
35.477,0
30.426,0
29.784,0
27.648,0
34.901,0
30.356,0
36.735,0
33.987,0
32.184,0
31.566,0
20.635,0
28.871,0
32.407,0
31.599,0
26.211,0
32.556,0
28.573,0
36.88,0
31.205,0
23.38,0
30.839,0
34.749,0
22.654,0
36.43,0
34.763,0
29.027,0
35.761,0
32.655,0
30.822,0
36.657,0
23.74,0
35.394,0
34.108,0
36.244,0
29.824,0
30.939,0
32.8,0
36.69,0
31.316,0
33.248,0
32.486,0
28.688,0
36.952,0
34.262,0
34.443,0
29.314,0
34.41,0
29.402,0
29.875,0
24.078,0
30.159,0
36.218,0
27.822,0
34.265,0
33.833,0
35.187,0
26.694,0
22.855,0
36.479,0
34.392,0
31.5,0
35.706,0
36.829,0
31.926,0
33.392,0
33.582,0
35.744,0
30.196,0
34.143,0
34.791,0
29.377,0
27.638,0
25.558,0
23.179,0
33.992,0
36.581,0
35.421,0
30.084,0
31.748,0
30.36,0
30.343,0
29.171,0
34.709,0
33.449,0
31.762,0
20.65,0
31.959,0
22.058,0
33.628,0
32.849,0
31.934,0
28.278,0
34.593,0
35.824,0
27.271,0
28.182,0
31.008,0
36.949,0
29.536,0
35.0,0
32.641,0
25.945,0
32.707,0
34.1,0
31.262,0
36.631,0
27.53,0
32.663,0
32.735,0
36.939,0
29.568,0
36.918,0
29.875,0
30.446,0
33.471,0
36.804,0
32.311,0
28.326,0
25.81,0
35.441,0
30.559,0
32.789,0
31.503,0
36.022,0
35.532,0
34.238,0
36.017,0
29.502,0
29.145,0
30.665,0
25.155,0
35.881,0
33.593,0
35.229,0
31.231,0
36.516,0
28.157,0
35.58,0
36.093,0
36.034,0
34.375,0
36.11,0
33.985,0
32.648,0
35.302,0
29.753,0
25.122,0
29.752,0
34.804,0
34.444,0
33.962,0
31.108,0
29.595,0
31.994,0
35.801,0
